DEBUG: General     , 1654406348014> 10,822,933> LoggerManager.init                  > Initializing...
LOG  : General     , 1654406350670> 10,825,565> 1654406350670 znet: key='description:2/2' value='grP'
LOG  : General     , 1654406350670> 10,825,567> 1654406350670 znet: Java_zombie_core_znet_SteamGameServer_SetKeyValue key='version' value='41.71'
LOG  : General     , 1654406350670> 10,825,569> 1654406350670 znet: Java_zombie_core_znet_SteamGameServer_SetKeyValue key='open' value='1'
LOG  : General     , 1654406350670> 10,825,571> 1654406350670 znet: Java_zombie_core_znet_SteamGameServer_SetKeyValue key='public' value='1'
LOG  : General     , 1654406350670> 10,825,572> 1654406350670 znet: Java_zombie_core_znet_SteamGameServer_SetKeyValue key='mods' value=''
LOG  : General     , 1654406350670> 10,825,573> 1654406350670 znet: Java_zombie_core_znet_SteamGameServer_SetKeyValue key='modCount' value='0'
LOG  : General     , 1654406350670> 10,825,576> 1654406350670 znet: Java_zombie_core_znet_SteamGameServer_SetKeyValue key='pvp' value='1'
LOG  : General     , 1654406350670> 10,825,579> 1654406350670 znet: Java_zombie_core_znet_SteamWorkshop_n_1Init
LOG  : General     , 1654406350670> 10,825,580> 1654406350670 znet: Java_zombie_core_znet_SteamGameServer_LogOnAnonymous
LOG  : General     , 1654406350686> 10,825,582> 1654406350686 znet: Java_zombie_core_znet_SteamGameServer_EnableHeartBeats
LOG  : General     , 1654406350686> 10,825,582> Waiting for response from Steam servers
LOG  : General     , 1654406351954> 10,826,850> 1654406351954 znet: OnSteamServersConnected
LOG  : General     , 1654406351958> 10,826,853> 1654406351958 znet: Public IP: 191.96.225.209
LOG  : General     , 1654406351962> 10,826,858> Start making backup to: C:\Users\Administrator\Zomboid\backups\startup
LOG  : General     , 1654406352180> 10,827,083> compressionElapsed=148ms, mergingElapsed=60ms
LOG  : General     , 1654406352180> 10,827,089> Backup made in 218 ms
LOG  : General     , 1654406352196> 10,827,096> user database "C:\Users\Administrator\Zomboid\db\servertest.db"
LOG  : General     , 1654406352274> 10,827,178> Router detection/configuration starting.
LOG  : General     , 1654406352274> 10,827,179> If the server hangs here, set UPnP=false.
LOG  : Network     , 1654406373274> 10,848,172> No UPnP-enabled Internet gateway found, you must configure port forwarding on your gateway manually in order to make your server accessible from the Internet.
LOG  : Network     , 1654406373274> 10,848,173> Initialising Server Systems...
LOG  : Lua         , 1654406374502> 10,849,409> Loading: media/lua/shared/Sandbox/Apocalypse.lua
LOG  : General     , 1654406375579> 10,850,485> scriptChecksum: d80545eb3a13937b2f297e0a427e485b
WARN : Recipe      , 1654406375595> 10,850,493> RecipeManager.resolveItemModuleDotType> WARNING: module "Base" may have forgot to import module Base
WARN : Script      , 1654406375595> 10,850,503> ModelScript.check> no such model "null" for Base.BareHands
WARN : Script      , 1654406375611> 10,850,506> ModelScript.check> no such model "???.DisposableRazor" for Base.Razor
WARN : Script      , 1654406375611> 10,850,511> ModelScript.check> no such model "???.Nettles_Ground" for Base.Nettles
WARN : Script      , 1654406375611> 10,850,520> ModelScript.check> no such model "Chainsaw" for Base.Chainsaw
LOG  : General     , 1654406376313> 10,851,217> LOADING ASSETS: START
LOG  : General     , 1654406385249> 10,860,149> LOADING ASSETS: FINISH
LOG  : Lua         , 1654406385343> 10,860,240> Loading: media/lua/shared/Definitions/AttachedWeaponDefinitions.lua
LOG  : Lua         , 1654406385343> 10,860,247> Loading: media/lua/shared/Definitions/ClothingRecipesDefinitions.lua
LOG  : Lua         , 1654406385343> 10,860,248> Loading: media/lua/shared/Definitions/ClothingSelectionDefinitions.lua
LOG  : Lua         , 1654406385343> 10,860,251> Loading: media/lua/shared/Definitions/ContainerButtonIcons.lua
LOG  : Lua         , 1654406385374> 10,860,273> Loading: media/lua/shared/Definitions/DamageModelDefinitions.lua
LOG  : Lua         , 1654406385374> 10,860,276> Loading: media/lua/shared/Definitions/DefaultClothing.lua
LOG  : Lua         , 1654406385374> 10,860,279> Loading: media/lua/shared/Definitions/FitnessExercises.lua
LOG  : Lua         , 1654406385374> 10,860,283> Loading: media/lua/shared/Definitions/HairOutfitDefinitions.lua
LOG  : Lua         , 1654406385390> 10,860,286> Loading: media/lua/shared/Definitions/MakeUpDefinitions.lua
LOG  : Lua         , 1654406385390> 10,860,288> Loading: media/lua/shared/Definitions/MapSymbolDefinitions.lua
LOG  : Lua         , 1654406385390> 10,860,296> Loading: media/lua/shared/Definitions/SmashedCarDefinitions.lua
LOG  : Lua         , 1654406385390> 10,860,300> Loading: media/lua/shared/Definitions/UnderwearDefinition.lua
LOG  : Lua         , 1654406385405> 10,860,303> Loading: media/lua/shared/Fishing/fishing_properties.lua
LOG  : Lua         , 1654406385405> 10,860,314> Loading: media/lua/shared/Foraging/forageDefinitions.lua
LOG  : Lua         , 1654406385452> 10,860,358> Loading: media/lua/shared/Foraging/forageSystem.lua
LOG  : Lua         , 1654406385468> 10,860,369> Loading: media/lua/shared/ISBaseObject.lua
LOG  : Lua         , 1654406385468> 10,860,371> Loading: media/lua/shared/JoyPad/JoyPadSetup.lua
LOG  : Lua         , 1654406385468> 10,860,376> Loading: media/lua/shared/Logs/ISLogSystem.lua
LOG  : Lua         , 1654406385468> 10,860,378> Loading: media/lua/shared/Logs/ISPerkLog.lua
LOG  : Lua         , 1654406385484> 10,860,380> Loading: media/lua/shared/NPCs/AttachedLocations.lua
LOG  : Lua         , 1654406385484> 10,860,386> Loading: media/lua/shared/NPCs/BodyLocations.lua
LOG  : Lua         , 1654406385484> 10,860,393> Loading: media/lua/shared/NPCs/MainCreationMethods.lua
LOG  : Lua         , 1654406385515> 10,860,411> Loading: media/lua/shared/NPCs/ZombiesZoneDefinition.lua
LOG  : Lua         , 1654406385515> 10,860,414> Loading: media/lua/shared/RecordedMedia/ISRecordeMedia.lua
LOG  : Lua         , 1654406385515> 10,860,416> Loading: media/lua/shared/RecordedMedia/recorded_media.lua
LOG  : Lua         , 1654406385577> 10,860,478> Loading: media/lua/shared/Reloading/ISRackAction.lua
LOG  : Lua         , 1654406385577> 10,860,479> Loading: media/lua/shared/TimedActions/ISBaseTimedAction.lua
LOG  : Lua         , 1654406385577> 10,860,481> Loading: media/lua/shared/Reloading/ISReloadAction.lua
LOG  : Lua         , 1654406385577> 10,860,485> Loading: media/lua/shared/Reloading/ISReloadManager.lua
LOG  : Lua         , 1654406385593> 10,860,488> Loading: media/lua/shared/Reloading/ISReloadUtil.lua
LOG  : Lua         , 1654406385593> 10,860,490> Loading: media/lua/shared/Reloading/ISReloadableMagazine.lua
LOG  : Lua         , 1654406385593> 10,860,491> Loading: media/lua/shared/Reloading/ISReloadable.lua
LOG  : Lua         , 1654406385593> 10,860,493> Loading: media/lua/shared/Reloading/ISSemiAutoWeapon.lua
LOG  : Lua         , 1654406385593> 10,860,494> Loading: media/lua/shared/Reloading/ISReloadableWeapon.lua
LOG  : Lua         , 1654406385593> 10,860,496> Loading: media/lua/shared/Reloading/ISShotgunWeapon.lua
LOG  : Lua         , 1654406385593> 10,860,500> Loading: media/lua/shared/Reloading/ISRevolverWeapon.lua
LOG  : Lua         , 1654406385593> 10,860,502> Loading: media/lua/shared/Reloading/stormysReload.lua
LOG  : Lua         , 1654406385609> 10,860,504> Loading: media/lua/shared/Sandbox/Beginner.lua
LOG  : Lua         , 1654406385609> 10,860,505> Loading: media/lua/shared/Sandbox/Builder.lua
LOG  : Lua         , 1654406385609> 10,860,506> Loading: media/lua/shared/Sandbox/FirstWeek.lua
LOG  : Lua         , 1654406385609> 10,860,509> Loading: media/lua/shared/Sandbox/SandboxVars.lua
LOG  : Lua         , 1654406385609> 10,860,510> Loading: media/lua/shared/Sandbox/Survival.lua
LOG  : Lua         , 1654406385624> 10,860,519> Loading: media/lua/shared/Sandbox/SixMonthsLater.lua
LOG  : Lua         , 1654406385624> 10,860,522> Loading: media/lua/shared/Sandbox/Survivor.lua
LOG  : Lua         , 1654406385624> 10,860,524> Loading: media/lua/shared/SoundBanks/SoundBanks.lua
LOG  : Lua         , 1654406385624> 10,860,528> Loading: media/lua/shared/SpawnRegions.lua
LOG  : Lua         , 1654406385624> 10,860,531> Loading: media/lua/shared/StashDescriptions/MarchRidgeStashDesc.lua
LOG  : Lua         , 1654406385624> 10,860,532> Loading: media/lua/shared/StashDescriptions/StashUtil.lua
LOG  : Lua         , 1654406385624> 10,860,534> Loading: media/lua/shared/StashDescriptions/MulStashDesc.lua
LOG  : Lua         , 1654406385640> 10,860,536> Loading: media/lua/shared/StashDescriptions/RosewoodStashDesc.lua
LOG  : Lua         , 1654406385640> 10,860,538> Loading: media/lua/shared/StashDescriptions/WpStashDesc.lua
LOG  : Lua         , 1654406385640> 10,860,540> Loading: media/lua/shared/Util/AdjacentFreeTileFinder.lua
LOG  : Lua         , 1654406385640> 10,860,543> Loading: media/lua/shared/Util/BuildingHelper.lua
LOG  : Lua         , 1654406385640> 10,860,544> Loading: media/lua/shared/Util/ISPriorityTable.lua
LOG  : Lua         , 1654406385640> 10,860,545> Loading: media/lua/shared/Util/LuaList.lua
LOG  : Lua         , 1654406385640> 10,860,547> Loading: media/lua/shared/Util/LuaNet.lua
LOG  : Lua         , 1654406385655> 10,860,551> Loading: media/lua/shared/Util/StringReplacer.lua
LOG  : Lua         , 1654406385655> 10,860,553> Loading: media/lua/shared/Util/Vector2.lua
LOG  : Lua         , 1654406385655> 10,860,554> Loading: media/lua/shared/VehicleZoneDefinition.lua
LOG  : Lua         , 1654406385655> 10,860,556> Loading: media/lua/shared/a_requires.lua
LOG  : Lua         , 1654406385655> 10,860,560> Loading: media/lua/shared/defines.lua
LOG  : Lua         , 1654406385655> 10,860,561> Loading: media/lua/shared/iwbumstempmodelcompat.lua
LOG  : Lua         , 1654406385655> 10,860,563> Loading: media/lua/shared/keyBinding.lua
LOG  : Lua         , 1654406385671> 10,860,567> Loading: media/lua/shared/luautils.lua
LOG  : Lua         , 1654406385921> 10,860,827> Loading: media/lua/server/BuildingObjects/ISAnvil.lua
LOG  : Lua         , 1654406385921> 10,860,830> Loading: media/lua/server/BuildingObjects/ISBuildingObject.lua
LOG  : Lua         , 1654406385937> 10,860,832> Loading: media/lua/server/BuildingObjects/ISBSFurnace.lua
LOG  : Lua         , 1654406385937> 10,860,834> Loading: media/lua/server/BuildingObjects/ISBarbedWire.lua
LOG  : Lua         , 1654406385937> 10,860,836> Loading: media/lua/server/BuildingObjects/ISBuildCursorMouse.lua
LOG  : Lua         , 1654406385937> 10,860,838> Loading: media/lua/server/BuildingObjects/ISBuildUtil.lua
LOG  : Lua         , 1654406385937> 10,860,840> Loading: media/lua/server/BuildingObjects/ISChopTreeCursor.lua
LOG  : Lua         , 1654406385937> 10,860,843> Loading: media/lua/server/BuildingObjects/ISCleanBloodCursor.lua
LOG  : Lua         , 1654406385937> 10,860,846> Loading: media/lua/server/BuildingObjects/ISCompost.lua
LOG  : Lua         , 1654406385952> 10,860,848> Loading: media/lua/server/BuildingObjects/ISDestroyCursor.lua
LOG  : Lua         , 1654406385952> 10,860,850> Loading: media/lua/server/BuildingObjects/ISDoubleDoor.lua
LOG  : Lua         , 1654406385952> 10,860,851> Loading: media/lua/server/BuildingObjects/ISDoubleTileFurniture.lua
LOG  : Lua         , 1654406385952> 10,860,852> Loading: media/lua/server/BuildingObjects/ISEmptyGraves.lua
LOG  : Lua         , 1654406385952> 10,860,854> Loading: media/lua/server/BuildingObjects/ISLightSource.lua
LOG  : Lua         , 1654406385952> 10,860,855> Loading: media/lua/server/BuildingObjects/ISMoveableCursor.lua
LOG  : Lua         , 1654406385952> 10,860,859> Loading: media/lua/server/BuildingObjects/ISNaturalFloor.lua
LOG  : Lua         , 1654406385952> 10,860,860> Loading: media/lua/server/BuildingObjects/ISPaintCursor.lua
LOG  : Lua         , 1654406385971> 10,860,868> Loading: media/lua/server/BuildingObjects/ISPlace3DItemCursor.lua
LOG  : Lua         , 1654406385971> 10,860,870> Loading: media/lua/server/BuildingObjects/ISRemovePlantCursor.lua
LOG  : Lua         , 1654406385971> 10,860,872> Loading: media/lua/server/BuildingObjects/ISSelectCursor.lua
LOG  : Lua         , 1654406385971> 10,860,873> Loading: media/lua/server/BuildingObjects/ISShovelGroundCursor.lua
LOG  : Lua         , 1654406385971> 10,860,874> Loading: media/lua/server/BuildingObjects/ISSimpleFurniture.lua
LOG  : Lua         , 1654406385971> 10,860,876> Loading: media/lua/server/BuildingObjects/ISWalkToCursor.lua
LOG  : Lua         , 1654406385971> 10,860,877> Loading: media/lua/server/BuildingObjects/ISWoodenContainer.lua
LOG  : Lua         , 1654406385971> 10,860,878> Loading: media/lua/server/BuildingObjects/ISWoodenDoor.lua
LOG  : Lua         , 1654406385984> 10,860,879> Loading: media/lua/server/BuildingObjects/ISWoodenDoorFrame.lua
LOG  : Lua         , 1654406385984> 10,860,880> Loading: media/lua/server/BuildingObjects/ISWoodenFloor.lua
LOG  : Lua         , 1654406385984> 10,860,881> Loading: media/lua/server/BuildingObjects/ISWoodenStairs.lua
LOG  : Lua         , 1654406385984> 10,860,883> Loading: media/lua/server/BuildingObjects/ISWoodenWall.lua
LOG  : Lua         , 1654406385984> 10,860,884> Loading: media/lua/server/BuildingObjects/PaintingReference.lua
LOG  : Lua         , 1654406385984> 10,860,886> Loading: media/lua/server/Camping/BuildingObjects/campingCampfire.lua
LOG  : Lua         , 1654406385984> 10,860,886> Loading: media/lua/server/Camping/BuildingObjects/campingTent.lua
LOG  : Lua         , 1654406385984> 10,860,888> Loading: media/lua/server/Camping/SCampfireGlobalObject.lua
LOG  : Lua         , 1654406385984> 10,860,889> Loading: media/lua/server/Map/SGlobalObject.lua
LOG  : Lua         , 1654406385984> 10,860,890> Loading: media/lua/server/Camping/SCampfireSystem.lua
LOG  : Lua         , 1654406385984> 10,860,891> Loading: media/lua/server/Map/SGlobalObjectSystem.lua
LOG  : Lua         , 1654406385999> 10,860,900> Loading: media/lua/server/Camping/SCampfireSystemCommands.lua
LOG  : Lua         , 1654406385999> 10,860,901> Loading: media/lua/server/Camping/camping_fuel.lua
LOG  : Lua         , 1654406385999> 10,860,902> Loading: media/lua/server/Camping/camping_tent.lua
LOG  : Lua         , 1654406385999> 10,860,903> Loading: media/lua/server/Camping/camping_text.lua
LOG  : Lua         , 1654406385999> 10,860,904> Loading: media/lua/server/ClientCommands.lua
LOG  : Lua         , 1654406385999> 10,860,907> Loading: media/lua/server/Climate/ClimateMain.lua
LOG  : Lua         , 1654406385999> 10,860,909> Loading: media/lua/server/Farming/BuildingObjects/ISFarmingCursor.lua
LOG  : Lua         , 1654406386015> 10,860,911> Loading: media/lua/server/Farming/BuildingObjects/ISFarmingCursorMouse.lua
LOG  : Lua         , 1654406386015> 10,860,913> Loading: media/lua/server/Farming/BuildingObjects/farmingPlot.lua
LOG  : Lua         , 1654406386015> 10,860,914> Loading: media/lua/server/Farming/SFarmingSystem.lua
LOG  : Lua         , 1654406386015> 10,860,916> Loading: media/lua/server/Farming/SPlantGlobalObject.lua
LOG  : Lua         , 1654406386015> 10,860,917> Loading: media/lua/server/Farming/ScavengeDefinition.lua
LOG  : Lua         , 1654406386015> 10,860,919> Loading: media/lua/server/Farming/farmingCommands.lua
LOG  : Lua         , 1654406386015> 10,860,920> Loading: media/lua/server/Farming/farming_vegetableconf.lua
LOG  : Lua         , 1654406386015> 10,860,923> Loading: media/lua/server/FireFighting/FireFighting.lua
LOG  : Lua         , 1654406386015> 10,860,924> Loading: media/lua/server/FireFighting/ISExtinguishCursor.lua
LOG  : Lua         , 1654406386030> 10,860,925> Loading: media/lua/server/Fishing/BuildingObjects/FishingNet.lua
LOG  : Lua         , 1654406386030> 10,860,927> Loading: media/lua/server/Foraging/forageServer.lua
LOG  : Lua         , 1654406386030> 10,860,927> Loading: media/lua/server/HealthSystem/HealthUpdate.lua
LOG  : Lua         , 1654406386030> 10,860,928> Loading: media/lua/server/ISBuildingBlueprintManager.lua
LOG  : Lua         , 1654406386030> 10,860,929> Loading: media/lua/server/ISCoordConversion.lua
LOG  : Lua         , 1654406386030> 10,860,930> Loading: media/lua/server/ISObjectClickHandler.lua
LOG  : Lua         , 1654406386030> 10,860,932> Loading: media/lua/server/Items/AcceptItemFunction.lua
LOG  : Lua         , 1654406386030> 10,860,933> Loading: media/lua/server/Items/ApplianceOverlays.lua
LOG  : Lua         , 1654406386030> 10,860,937> Loading: media/lua/server/Items/BentFences.lua
LOG  : Lua         , 1654406386030> 10,860,940> Loading: media/lua/server/Items/BrokenFences.lua
LOG  : Lua         , 1654406386046> 10,860,950> Loading: media/lua/server/Items/CounterOverlays.lua
LOG  : Lua         , 1654406386046> 10,860,952> Loading: media/lua/server/Items/Distributions.lua
LOG  : Lua         , 1654406386062> 10,860,969> Loading: media/lua/server/Items/FixturesOverlays.lua
LOG  : Lua         , 1654406386062> 10,860,970> Loading: media/lua/server/Items/FloorStreetOverlays.lua
LOG  : Lua         , 1654406386077> 10,860,972> Loading: media/lua/server/Items/FloorTileOverlays.lua
LOG  : Lua         , 1654406386077> 10,860,974> Loading: media/lua/server/Items/FloorWoodOverlays.lua
LOG  : Lua         , 1654406386077> 10,860,976> Loading: media/lua/server/Items/FurnitureOfficeOverlays.lua
LOG  : Lua         , 1654406386077> 10,860,978> Loading: media/lua/server/Items/ItemBindingHandler.lua
LOG  : Lua         , 1654406386077> 10,860,979> Loading: media/lua/server/Items/ItemPicker.lua
LOG  : Lua         , 1654406386077> 10,860,983> Loading: media/lua/server/Items/ProceduralDistributions.lua
LOG  : Lua         , 1654406386124> 10,861,021> Loading: media/lua/server/Items/ScriptItemInterface.lua
LOG  : Lua         , 1654406386124> 10,861,022> Loading: media/lua/server/Items/SeatingOverlays.lua
LOG  : Lua         , 1654406386124> 10,861,024> Loading: media/lua/server/Items/StorageOverlays.lua
LOG  : Lua         , 1654406386124> 10,861,025> Loading: media/lua/server/Items/SuburbsDistributions.lua
LOG  : Lua         , 1654406386124> 10,861,027> Loading: media/lua/server/Items/TileOverlays.lua
LOG  : Lua         , 1654406386124> 10,861,032> Loading: media/lua/server/Items/TileOverlaysSmooth.lua
LOG  : Lua         , 1654406386124> 10,861,033> Loading: media/lua/server/Items/WallsBrickOverlays.lua
LOG  : Lua         , 1654406386140> 10,861,046> Loading: media/lua/server/Items/WorldFiller.lua
LOG  : Lua         , 1654406386155> 10,861,051> Loading: media/lua/server/Map/MapObjects/MOBarricade.lua
LOG  : Lua         , 1654406386155> 10,861,055> Loading: media/lua/server/Map/MapObjects/MOCampfire.lua
LOG  : Lua         , 1654406386155> 10,861,058> Loading: media/lua/server/Map/MapObjects/MOCompost.lua
LOG  : Lua         , 1654406386155> 10,861,059> Loading: media/lua/server/Map/MapObjects/MOFarming.lua
LOG  : Lua         , 1654406386155> 10,861,062> Loading: media/lua/server/Map/MapObjects/MOGenerator.lua
LOG  : Lua         , 1654406386155> 10,861,064> Loading: media/lua/server/Map/MapObjects/MOLampOnPillar.lua
LOG  : Lua         , 1654406386171> 10,861,066> Loading: media/lua/server/Map/MapObjects/MOMetalDrum.lua
LOG  : Lua         , 1654406386171> 10,861,069> Loading: media/lua/server/Map/MapObjects/MORainCollectorBarrel.lua
LOG  : Lua         , 1654406386171> 10,861,070> Loading: media/lua/server/RainBarrel/BuildingObjects/RainCollectorBarrel.lua
LOG  : Lua         , 1654406386171> 10,861,072> Loading: media/lua/server/Map/MapObjects/MORandomPottedPlant.lua
LOG  : Lua         , 1654406386171> 10,861,073> Loading: media/lua/server/Map/MapObjects/MOTent.lua
LOG  : Lua         , 1654406386171> 10,861,074> Loading: media/lua/server/Map/MapObjects/MOTrap.lua
LOG  : Lua         , 1654406386171> 10,861,075> Loading: media/lua/server/Traps/TrapDefinition.lua
LOG  : Lua         , 1654406386171> 10,861,076> Loading: media/lua/server/Traps/STrapSystem.lua
LOG  : Lua         , 1654406386171> 10,861,077> Loading: media/lua/server/Map/MapObjects/MOWoodenWallFrame.lua
LOG  : Lua         , 1654406386171> 10,861,079> Loading: media/lua/server/Map/MetaEnum.lua
LOG  : Lua         , 1654406386171> 10,861,080> Loading: media/lua/server/MetalDrum/BuildingObjects/ISMetalDrum.lua
LOG  : Lua         , 1654406386171> 10,861,081> Loading: media/lua/server/MetalDrum/SMetalDrumGlobalObject.lua
LOG  : Lua         , 1654406386187> 10,861,082> Loading: media/lua/server/MetalDrum/SMetalDrumSystem.lua
LOG  : Lua         , 1654406386187> 10,861,083> Loading: media/lua/server/Movers/ISBaseMover.lua
LOG  : Lua         , 1654406386187> 10,861,084> Loading: media/lua/server/Movers/MoverStateMachine.lua
LOG  : Lua         , 1654406386187> 10,861,085> Loading: media/lua/server/Movers/MoverStates/ISBaseState.lua
LOG  : Lua         , 1654406386187> 10,861,085> Loading: media/lua/server/Movers/MoverStates/MoveToState.lua
LOG  : Lua         , 1654406386187> 10,861,086> Loading: media/lua/server/Movers/Rabbit.lua
LOG  : Lua         , 1654406386187> 10,861,087> Loading: media/lua/server/NPCs/SadisticAIDirector/SadisticMusicDirector.lua
LOG  : Lua         , 1654406386187> 10,861,088> Loading: media/lua/server/NewSelectionSystem/GridSquareSelector.lua
LOG  : Lua         , 1654406386187> 10,861,088> Loading: media/lua/server/Professions/Professions.lua
LOG  : Lua         , 1654406386187> 10,861,089> Loading: media/lua/server/RainBarrel/SRainBarrelGlobalObject.lua
LOG  : Lua         , 1654406386187> 10,861,090> Loading: media/lua/server/RainBarrel/SRainBarrelSystem.lua
LOG  : Lua         , 1654406386187> 10,861,090> Loading: media/lua/server/Seasons/season.lua
LOG  : Lua         , 1654406386187> 10,861,092> Loading: media/lua/server/Seasons/seasonProps.lua
LOG  : Lua         , 1654406386187> 10,861,093> Loading: media/lua/server/Traps/BuildingObjects/TrapBO.lua
LOG  : Lua         , 1654406386187> 10,861,094> Loading: media/lua/server/Traps/ISUI/ISTrapMenu.lua
LOG  : Lua         , 1654406386187> 10,861,095> Loading: media/lua/server/Traps/STrapGlobalObject.lua
LOG  : Lua         , 1654406386187> 10,861,096> Loading: media/lua/server/Traps/TrapRecipeCode.lua
LOG  : Lua         , 1654406386187> 10,861,097> Loading: media/lua/server/Traps/trappingCommands.lua
LOG  : Lua         , 1654406386202> 10,861,098> Loading: media/lua/server/TurnBased/TurnBasedMain.lua
LOG  : Lua         , 1654406386202> 10,861,102> Loading: media/lua/server/TutorialHelperFunctions.lua
LOG  : Lua         , 1654406386202> 10,861,104> Loading: media/lua/server/Vehicles/VehicleCommands.lua
LOG  : Lua         , 1654406386202> 10,861,107> Loading: media/lua/server/Vehicles/VehicleDistributions.lua
LOG  : Lua         , 1654406386202> 10,861,110> Loading: media/lua/server/Vehicles/Vehicles.lua
LOG  : Lua         , 1654406386218> 10,861,115> Loading: media/lua/server/XpSystem/XPSystem_SkillBook.lua
LOG  : Lua         , 1654406386218> 10,861,116> Loading: media/lua/server/XpSystem/XpSystem_text.lua
LOG  : Lua         , 1654406386218> 10,861,117> Loading: media/lua/server/XpSystem/XpUpdate.lua
LOG  : Lua         , 1654406386218> 10,861,118> Loading: media/lua/server/metazones/metazoneHandler.lua
LOG  : Lua         , 1654406386218> 10,861,119> Loading: media/lua/server/radio/ISDynamicRadio.lua
LOG  : Lua         , 1654406386218> 10,861,120> Loading: media/lua/server/radio/ISWeatherChannel.lua
LOG  : Lua         , 1654406386218> 10,861,122> Loading: media/lua/server/recipecode.lua
LOG  : General     , 1654406386218> 10,861,126> luaChecksum: d2ca074c69006a5c0bcc33204b213796
LOG  : Lua         , 1654406386452> 10,861,359> Loading: C:/Users/Administrator/Zomboid/Server/servertest_SandboxVars.lua
LOG  : General     , 1654406386452> 10,861,362> writing C:\Users\Administrator\Zomboid\Server\servertest_SandboxVars.lua
LOG  : Lua         , 1654406386577> 10,861,480> Loading: C:/Users/Administrator/Zomboid/Server/servertest_spawnregions.lua
LOG  : Lua         , 1654406386577> 10,861,483> Loading: media/maps/Muldraugh, KY/spawnpoints.lua
LOG  : Lua         , 1654406386577> 10,861,487> Loading: media/maps/West Point, KY/spawnpoints.lua
LOG  : Lua         , 1654406386593> 10,861,490> Loading: media/maps/Rosewood, KY/spawnpoints.lua
LOG  : Lua         , 1654406386593> 10,861,492> Loading: media/maps/Riverside, KY/spawnpoints.lua
LOG  : Network     , 1654406386609> 10,861,508> Loading world...
LOG  : General     , 1654406386609> 10,861,515> IsoMetaGrid.Create: begin scanning directories
LOG  : General     , 1654406386609> 10,861,518> Looking in these map folders:
LOG  : General     , 1654406386624> 10,861,520>     C:\pzserver\media\maps\Muldraugh, KY
LOG  : General     , 1654406386624> 10,861,523> <End of map-folders list>
